filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,rel_width,rel_height
L_7sins_01,0,-5.2343664,10.580683,-0.1775293,6.78754,0.25327295,2.8568268,-1.6745819,-1.4239563,-5.3722143,0.2288422,0.37788633,-0.110634446,-0.7966885,0.23533127,1.0867916,0,1.0,1.0,250,187,0,0,0,0,0.4885508047247358,0.6519365554667521
L_7sins_01,1,0.52132946,3.4569113,-8.885488,6.8494983,1.8568416,0.063550405,-1.1395853,-4.091127,-4.263147,0.19414394,0.22194898,1.1114986,0.39714047,-0.341213,-0.32092,0,1.0,1.0,197,0,123,0,0,0,0.391016501588856,0.45823125193813813
L_7sins_01,3,-8.528134,-0.7019882,-7.4841123,4.8939657,1.2035553,1.242872,-1.70712,-4.3089767,-1.9686099,-0.7391612,-0.39176634,0.41771677,0.50410676,-0.12236312,-0.3834761,0,1.0,1.0,197,0,123,0,0,0,0.3910421182881842,0.4582312519381379
L_7sins_01,2,4.5187564,1.2600135,-5.949025,1.6847408,1.7480485,3.1705194,-2.1890066,4.9122825,0.14402334,2.3784778,0.48655027,0.8727879,-1.1766407,-1.0057368,-0.6295011,0,1.0,1.0,236,116,4,0,0,0,0.7691683359812114,0.31873316519978745
L_7sins_01,4,0.71544117,9.565377,-4.0575976,4.008422,1.2755009,2.7059035,-2.730794,-2.572307,-0.065045945,1.8971838,0.92805874,-1.2228657,-0.19806792,0.35111517,0.47256187,0,1.0,1.0,236,116,4,0,0,0,0.5734613524901568,0.3062604011186029
L_7sins_01,5,7.225783,11.590823,-4.716619,8.288215,1.1302611,3.3548887,-1.9058311,-0.98560095,-2.2132576,0.54298085,-0.35547695,3.1399045,0.96130985,-0.6404783,-0.35761487,0,1.0,1.0,250,187,0,0,0,0,0.4885508047247358,0.6519308133320811
L_7sins_01,7,3.7205524,-7.5217047,-5.100236,-1.3538429,-0.30903637,0.62646765,-1.3204318,-1.3365128,-0.73775744,-0.4897057,-0.6593791,0.14786135,0.1810117,0.033558648,0.11859418,0,1.0,1.0,255,255,255,0,0,0,0.02992678041030612,0.14871240585379297
L_7sins_01,6,5.2041516,-9.968211,-0.5876502,-1.8017819,1.9888672,0.91921943,-1.4967114,1.4940786,-2.223474,-0.13996372,0.093318366,-0.84490556,-0.09385744,0.16861568,0.40340087,0,1.0,1.0,255,255,255,0,0,0,0.12626925467983713,0.15632988487999103
L_7sins_01,8,2.4138212,-6.337455,2.7911263,-0.31707212,0.12287092,2.243046,-2.1483047,0.17801464,-0.100948066,1.2352889,0.37697625,0.17148158,0.54949236,-0.059566613,-0.09670025,0,1.0,1.0,255,255,255,0,0,0,0.12300545693168466,0.1441830940003779
L_7sins_01,9,5.6744113,-3.0581305,4.826085,-3.0207348,1.8070549,0.9607981,-1.5650227,1.1317929,-1.993658,-0.24092533,0.055103257,-0.76798415,-0.25513113,0.12377217,0.2841959,0,1.0,1.0,255,255,255,0,0,0,0.126269254679837,0.1564156673014573
L_7sins_02,0,1.2289089,4.891085,-5.339165,9.169363,-0.65366685,5.350128,-3.1703088,0.12088636,3.2842171,2.891848,1.1395117,0.13864751,-0.513254,0.26854116,0.13545968,0,1.0,1.0,197,0,123,0,0,0,0.9756152125279642,0.9230936227951154
L_7sins_02,1,-2.8574593,4.546059,-5.1672335,10.423741,-0.37813094,5.7020507,-3.070514,0.35973394,3.0505202,2.6742013,1.2768937,0.048719246,-0.4807018,0.2418281,0.14186862,0,1.0,1.0,0,0,0,197,0,123,0.9756152125279642,0.9230936227951154
L_7sins_02,2,2.303005,1.51584,-4.4154053,7.143025,-0.75792575,4.669624,-3.0358763,0.27631566,3.964656,3.1136553,1.005967,0.5059145,-0.6132626,0.16092183,0.11618843,0,1.0,1.0,236,116,4,197,0,123,0.8065393219755634,0.6154138398914519
L_7sins_02,3,-1.1389747,2.8147829,8.678254,-2.1007798,-0.6846885,1.9511373,-1.6196581,0.44273832,0.3744569,-0.6419322,-0.9604606,-0.37127224,0.14871764,-0.057481263,-0.002719306,0,1.0,1.0,255,255,255,197,0,123,0.08356692121559645,0.38502035278154695
L_7sins_02,5,6.5227933,-3.348402,-0.27899614,-2.7842312,-1.7909138,1.7473918,-1.5131574,-0.35914156,-0.7815638,-1.416823,-1.0331082,-0.7062491,-0.09075973,-0.121303946,-0.34910116,0,1.0,1.0,255,255,255,197,0,123,0.027258647392875538,0.3917503392130258
L_7sins_02,4,8.572076,-2.6854687,8.281544,0.6507288,2.8262212,-0.9760662,-1.0132748,-0.5396366,-0.108922265,-0.36254925,-0.23068736,-0.3969705,-1.3258286,0.39931446,0.104366474,0,1.0,1.0,255,255,255,197,0,123,0.09497505692108116,0.39641791044776137
L_7sins_02,6,2.1669822,3.6056585,11.500568,1.3897521,-0.2755113,-0.90123767,0.10452074,0.023628766,-0.016436523,0.2739996,-0.19411045,0.45284796,0.4031356,-0.48005334,-0.87784916,0,1.0,1.0,255,255,255,197,0,123,0.11381861985888878,0.3850203527815471
L_7sins_02,7,8.190256,3.4039438,10.937441,1.3512409,2.345865,-0.8296774,-0.7887995,-0.22032876,0.11527516,-0.29406142,-0.4288937,-0.44682717,-0.7874698,0.49052972,0.3093884,0,1.0,1.0,255,255,255,197,0,123,0.0949750569210817,0.39641791044776137
L_7sins_03_1,0,1.4931012,-1.2616293,-1.1611124,10.986394,-2.4550822,9.184877,-3.428116,2.0506074,-0.6295643,-2.0922334,-0.94253904,-0.8538182,-0.4160734,-0.11697748,-0.013931668,0,1.0,1.0,236,116,4,0,0,0,0.9828716063936757,0.8825474832345774
