id,total_len,nb_groups,len_groups,max_len_group
Ableton_1,10,2,"[4, 6]",6
Ableton_0,21,1,[21],21
Ableton_3,19,2,"[13, 6]",13
Ableton_2,27,1,[27],27
Ableton_4,10,1,[10],10
Ableton_5,16,2,"[12, 4]",12
Ableton_6,15,2,"[11, 4]",11
Actris_0,3,1,[3],3
Actris_1,3,1,[3],3
Actris_2,2,1,[2],2
Actris_3,3,1,[3],3
A&O Hotels and Hostels_0,67,7,"[17, 7, 7, 16, 5, 7, 8]",17
Actris_5,8,1,[8],8
Ableton_7,80,8,"[10, 10, 10, 10, 10, 10, 10, 10]",10
Actris_6,29,3,"[14, 9, 6]",14
Actris_4,64,8,"[8, 5, 10, 12, 9, 11, 4, 5]",12
Adam Hall Group_0,19,2,"[15, 4]",15
A&O Hotels and Hostels_1,144,18,"[5, 11, 9, 6, 6, 12, 8, 12, 6, 19, 6, 8, 14, 4, 4, 4, 6, 4]",19
Adam Hall Group_1,17,2,"[9, 8]",9
Adam Hall Group_10,14,2,"[8, 6]",8
Adam Hall Group_11,7,1,[7],7
Adam Hall Group_12,5,2,"[2, 3]",3
Adam Hall Group_14,10,1,[10],10
Adam Hall Group_15,8,1,[8],8
Adam Hall Group_13,14,2,"[8, 6]",8
Adam Hall Group_16,14,2,"[8, 6]",8
Adam Hall Group_18,14,2,"[8, 6]",8
Adam Hall Group_17,14,2,"[8, 6]",8
Adam Hall Group_19,10,1,[10],10
Adam Hall Group_21,7,1,[7],7
Adam Hall Group_20,7,1,[7],7
Adam Hall Group_22,14,2,"[8, 6]",8
Adam Hall Group_24,8,1,[8],8
Adam Hall Group_2,19,2,"[15, 4]",15
Adam Hall Group_23,8,1,[8],8
Adam Hall Group_25,10,1,[10],10
Adam Hall Group_26,8,2,"[4, 4]",4
Adam Hall Group_27,8,2,"[4, 4]",4
Adam Hall Group_4,11,1,[11],11
Adam Hall Group_3,20,1,[20],20
Adam Hall Group_28,21,3,"[13, 4, 4]",13
Adam Hall Group_8,14,2,"[8, 6]",8
Adam Hall Group_6,18,4,"[6, 4, 4, 4]",6
Adam Hall Group_5,19,2,"[15, 4]",15
Adelholzener Alpenquellen_1,12,1,[12],12
Adam Hall Group_9,12,2,"[6, 6]",6
Adelholzener Alpenquellen_0,12,1,[12],12
Adelholzener Alpenquellen_10,12,1,[12],12
Adelholzener Alpenquellen_100,18,1,[18],18
Adelholzener Alpenquellen_102,8,1,[8],8
Adam Hall Group_7,39,1,[39],39
Adelholzener Alpenquellen_103,8,1,[8],8
Adelholzener Alpenquellen_101,14,1,[14],14
Adelholzener Alpenquellen_104,13,1,[13],13
Adelholzener Alpenquellen_105,6,1,[6],6
Adelholzener Alpenquellen_108,20,1,[20],20
Adelholzener Alpenquellen_107,24,2,"[18, 6]",18
Adelholzener Alpenquellen_109,22,2,"[14, 8]",14
Adelholzener Alpenquellen_106,42,4,"[10, 10, 14, 8]",14
