"alias","logo","rating","time"
"","","",""
"Jonathan","animation/logo_151_animation_3.svg","Very Bad","Timestamp(seconds=1617016450, nanoseconds=483000000)"
"Niklas","animation/logo_173_animation_22.svg","Very Good","Timestamp(seconds=1617013789, nanoseconds=285000000)"
"Tim","animation/logo_101_animation_3.svg","Bad","Timestamp(seconds=1616957263, nanoseconds=274000000)"
"Jakob","animation/logo_91_animation_30.svg","Good","Timestamp(seconds=1616927504, nanoseconds=335000000)"
"Sarah","animation/logo_85_animation_10.svg","Bad","Timestamp(seconds=1616954495, nanoseconds=168000000)"
"Tim","animation/logo_126_animation_15.svg","Good","Timestamp(seconds=1616962957, nanoseconds=289000000)"
"Jakob","animation/logo_164_animation_35.svg","Good","Timestamp(seconds=1617014354, nanoseconds=871000000)"
"Sarah","animation/logo_160_animation_4.svg","Good","Timestamp(seconds=1617026990, nanoseconds=966000000)"
"Jakob","animation/logo_104_animation_35.svg","Okay","Timestamp(seconds=1616959419, nanoseconds=874000000)"
"Phillip","animation/logo_111_animation_1.svg","Bad","Timestamp(seconds=1616958955, nanoseconds=642000000)"
"Jakob","animation/logo_45_animation_3.svg","Very Bad","Timestamp(seconds=1616963677, nanoseconds=601000000)"
"Jonathan","animation/logo_57_animation_41.svg","Very Bad","Timestamp(seconds=1616962374, nanoseconds=666000000)"
"Simon","animation/logo_187_animation_11.svg","Okay","Timestamp(seconds=1617128359, nanoseconds=354000000)"
"Kim","animation/logo_88_animation_31.svg","Bad","Timestamp(seconds=1616956321, nanoseconds=992000000)"
"Rebecca","animation/logo_106_animation_27.svg","Very Bad","Timestamp(seconds=1616973107, nanoseconds=30000000)"
"Sarah","animation/logo_97_animation_3.svg","Okay","Timestamp(seconds=1616957172, nanoseconds=754000000)"
"Sarah","animation/logo_163_animation_5.svg","Good","Timestamp(seconds=1617024829, nanoseconds=34000000)"
"Niklas","animation/logo_187_animation_23.svg","Very Good","Timestamp(seconds=1617013699, nanoseconds=718000000)"
"Sarah","animation/logo_13_animation_43.svg","Okay","Timestamp(seconds=1616958822, nanoseconds=743000000)"
"Jonathan","animation/logo_19_animation_25.svg","Very Bad","Timestamp(seconds=1616962540, nanoseconds=64000000)"
"Tim","animation/logo_121_animation_8.svg","Very Bad","Timestamp(seconds=1616954179, nanoseconds=58000000)"
"Tim","animation/logo_137_animation_18.svg","Very Bad","Timestamp(seconds=1616962859, nanoseconds=9000000)"
"Niklas","animation/logo_52_animation_28.svg","Good","Timestamp(seconds=1616958817, nanoseconds=363000000)"
"Jakob","animation/logo_105_animation_47.svg","Very Bad","Timestamp(seconds=1616950618, nanoseconds=962000000)"
"Jonathan","animation/logo_38_animation_17.svg","Very Bad","Timestamp(seconds=1616962016, nanoseconds=417000000)"
"Jonathan","animation/logo_165_animation_41.svg","Bad","Timestamp(seconds=1617016124, nanoseconds=55000000)"
"Kim","animation/logo_64_animation_20.svg","Good","Timestamp(seconds=1616954120, nanoseconds=578000000)"
"Jonathan","animation/logo_3_animation_32.svg","Okay","Timestamp(seconds=1616955847, nanoseconds=512000000)"
"Jakob","animation/logo_12_animation_13.svg","Bad","Timestamp(seconds=1616950802, nanoseconds=666000000)"
"Sarah","animation/logo_78_animation_13.svg","Okay","Timestamp(seconds=1616955228, nanoseconds=606000000)"
"Tim","animation/logo_65_animation_39.svg","Bad","Timestamp(seconds=1617007563, nanoseconds=760000000)"
"Tim","animation/logo_9_animation_18.svg","Bad","Timestamp(seconds=1617003320, nanoseconds=891000000)"
"Jonathan","animation/logo_172_animation_22.svg","Bad","Timestamp(seconds=1617016213, nanoseconds=865000000)"
"Jonathan","animation/logo_146_animation_0.svg","Very Bad","Timestamp(seconds=1617117398, nanoseconds=722000000)"
"Jonathan","animation/logo_59_animation_42.svg","Okay","Timestamp(seconds=1616961919, nanoseconds=953000000)"
"Sarah","animation/logo_188_animation_38.svg","Good","Timestamp(seconds=1617026052, nanoseconds=66000000)"
"Jakob","animation/logo_101_animation_7.svg","Okay","Timestamp(seconds=1616950525, nanoseconds=625000000)"
"Selina","animation/logo_131_animation_39.svg","Good","Timestamp(seconds=1617128846, nanoseconds=158000000)"
"Sarah","animation/logo_181_animation_1.svg","Okay","Timestamp(seconds=1617027003, nanoseconds=468000000)"
"Jakob","animation/logo_119_animation_26.svg","Very Bad","Timestamp(seconds=1616959760, nanoseconds=302000000)"
"Jakob","animation/logo_117_animation_34.svg","Good","Timestamp(seconds=1616947217, nanoseconds=4000000)"
"Jakob","animation/logo_65_animation_4.svg","Very Bad","Timestamp(seconds=1616952449, nanoseconds=678000000)"
"Sarah","animation/logo_126_animation_5.svg","Good","Timestamp(seconds=1616954135, nanoseconds=94000000)"
"Jakob","animation/logo_104_animation_49.svg","Bad","Timestamp(seconds=1616965073, nanoseconds=462000000)"
"Tim","animation/logo_157_animation_10.svg","Bad","Timestamp(seconds=1617013472, nanoseconds=59000000)"
"Jakob","animation/logo_155_animation_44.svg","Bad","Timestamp(seconds=1617052201, nanoseconds=165000000)"
"Niklas","animation/logo_178_animation_43.svg","Very Good","Timestamp(seconds=1617013655, nanoseconds=93000000)"
