id,total_len,nb_groups,len_groups,max_len_group,start_pos
logo_0,64,8,"[7, 7, 5, 4, 4, 7, 14, 16]",16,"[P(11.9639253616333, 4.5934014320373535), P(11.9639253616333, 4.5934014320373535), P(11.963924407958984, 4.593401908874512), P(7.886682510375977, 8.97691535949707), P(16.040922164916992, 8.97691535949707), P(6.498397350311279, 13.744987487792969), P(9.333866119384766, 15.467767715454102), P(14.516189575195312, 15.467767715454102)]"
logo_1,114,8,"[7, 7, 8, 10, 23, 23, 15, 21]",23,"[P(8.111812591552734, 9.714151382446289), P(8.111812591552734, 9.714151382446289), P(8.156431198120117, 10.47614574432373), P(11.95538330078125, 11.011557579040527), P(10.309098243713379, 11.01693344116211), P(15.653003692626953, 11.01693344116211), P(7.648972034454346, 11.025534629821777), P(12.646955490112305, 11.044886589050293)]"
logo_101,40,8,"[5, 5, 5, 5, 5, 5, 5, 5]",5,"[P(11.995269775390625, 9.817630767822266), P(13.816488265991211, 10.07122802734375), P(15.33347225189209, 10.07122802734375), P(9.46766185760498, 10.222175598144531), P(10.679496765136719, 10.222175598144531), P(9.46766185760498, 11.436161041259766), P(10.679496765136719, 11.436161041259766), P(15.33347225189209, 11.588211059570312)]"
logo_100,121,8,"[15, 10, 10, 19, 21, 19, 14, 13]",21,"[P(18.257762908935547, 14.938448905944824), P(15.781749725341797, 14.93871784210205), P(17.298480987548828, 14.93871784210205), P(5.106840133666992, 14.952962875366211), P(9.75487232208252, 14.7277250289917), P(10.445101737976074, 14.952962875366211), P(11.586615562438965, 14.952962875366211), P(12.789410591125488, 14.952962875366211)]"
logo_102,101,8,"[5, 10, 5, 5, 5, 10, 32, 29]",32,"[P(12.005375862121582, 8.387491226196289), P(12.005375862121582, 11.106444358825684), P(14.254524230957031, 11.19995403289795), P(14.114945411682129, 11.854521751403809), P(13.598505020141602, 11.855515480041504), P(17.651805877685547, 14.750818252563477), P(15.493585586547852, 14.763343811035156), P(4.501468658447266, 14.807371139526367)]"
logo_10,101,8,"[11, 14, 11, 13, 21, 14, 11, 6]",21,"[P(5.903238773345947, 10.45088005065918), P(12.530304908752441, 11.600725173950195), P(10.337051391601562, 11.600994110107422), P(7.856202125549316, 11.638355255126953), P(14.242441177368164, 11.638355255126953), P(16.639968872070312, 11.63862419128418), P(18.104825973510742, 11.63862419128418), P(6.176320552825928, 12.692245483398438)]"
logo_103,424,8,"[113, 110, 53, 36, 40, 35, 26, 11]",113,"[P(16.70340347290039, 7.4231953620910645), P(15.92313003540039, 7.6067728996276855), P(5.543878555297852, 9.840343475341797), P(12.145681381225586, 11.735519409179688), P(15.925276756286621, 11.815077781677246), P(14.252386093139648, 11.876629829406738), P(9.502218246459961, 11.902432441711426), P(15.528290748596191, 15.92957878112793)]"
logo_105,141,8,"[5, 15, 11, 7, 13, 13, 60, 17]",60,"[P(13.210322380065918, 8.419029235839844), P(11.641446113586426, 10.690498352050781), P(14.299422264099121, 10.690498352050781), P(6.322537422180176, 10.720333099365234), P(8.599113464355469, 10.720333099365234), P(15.830937385559082, 10.720333099365234), P(4.380863189697266, 14.704744338989258), P(11.254940032958984, 15.079692840576172)]"
logo_104,77,8,"[4, 5, 5, 5, 17, 15, 13, 13]",17,"[P(17.523452758789062, 7.686601161956787), P(18.09514808654785, 8.924875259399414), P(16.856605529785156, 10.353715896606445), P(17.136138916015625, 11.877704620361328), P(8.437576293945312, 13.238811492919922), P(10.543476104736328, 13.239081382751465), P(5.940061569213867, 13.271872520446777), P(11.604623794555664, 13.271872520446777)]"
logo_106,72,8,"[5, 5, 5, 13, 11, 7, 13, 13]",13,"[P(4.380863189697266, 9.659050941467285), P(4.380863189697266, 9.659050941467285), P(19.428573608398438, 9.659050941467285), P(13.40626335144043, 10.585001945495605), P(15.765623092651367, 10.585001945495605), P(8.763607025146484, 10.617524147033691), P(10.510952949523926, 10.617524147033691), P(17.012229919433594, 10.617524147033691)]"
logo_107,70,8,"[3, 5, 13, 11, 7, 13, 13, 5]",13,"[P(7.583389759063721, 11.028759956359863), P(5.002285003662109, 11.411234855651855), P(13.880929946899414, 11.46337890625), P(16.496707916259766, 11.46337890625), P(8.690767288208008, 11.496707916259766), P(10.720333099365234, 11.496707916259766), P(17.981992721557617, 11.496707916259766), P(4.380863189697266, 13.89665412902832)]"
logo_109,77,8,"[4, 5, 5, 5, 15, 17, 13, 13]",17,"[P(8.003763198852539, 8.280339241027832), P(8.577879905700684, 9.524526596069336), P(7.333423137664795, 10.959817886352539), P(7.614030838012695, 12.491063117980957), P(17.184518814086914, 12.710658073425293), P(15.062490463256836, 12.710926055908203), P(12.547508239746094, 12.743717193603516), P(18.256149291992188, 12.743717193603516)]"
logo_108,98,8,"[3, 10, 13, 11, 7, 13, 13, 28]",28,"[P(7.822336196899414, 10.996371269226074), P(5.2412309646606445, 11.378578186035156), P(13.880929946899414, 11.430721282958984), P(16.496707916259766, 11.430990219116211), P(8.690767288208008, 11.46405029296875), P(10.720333099365234, 11.46405029296875), P(17.981992721557617, 11.46405029296875), P(4.380863189697266, 14.291627883911133)]"
logo_11,116,8,"[12, 14, 21, 23, 13, 11, 16, 6]",23,"[P(6.094342231750488, 10.234107971191406), P(11.927967071533203, 11.164360046386719), P(13.939793586730957, 11.357613563537598), P(16.92084503173828, 11.937105178833008), P(8.813600540161133, 11.937374114990234), P(10.81198787689209, 11.937374114990234), P(18.219863891601562, 11.983604431152344), P(6.275231838226318, 12.66308307647705)]"
logo_110,54,8,"[4, 4, 4, 4, 17, 13, 4, 4]",17,"[P(14.592241287231445, 7.59844446182251), P(11.845624923706055, 7.727165222167969), P(8.679948806762695, 7.975009918212891), P(8.25209903717041, 9.54215145111084), P(14.199307441711426, 10.62593936920166), P(18.24691390991211, 10.658865928649902), P(6.2245049476623535, 11.70069694519043), P(6.931485652923584, 14.214922904968262)]"
logo_111,50,8,"[4, 4, 4, 4, 13, 13, 4, 4]",13,"[P(14.707630157470703, 7.584682941436768), P(11.953863143920898, 7.701307773590088), P(8.678630828857422, 7.981326580047607), P(8.249706268310547, 9.53817367553711), P(11.075748443603516, 10.704290390014648), P(18.005950927734375, 10.704290390014648), P(6.216844081878662, 11.702363014221191), P(6.925652980804443, 14.22309398651123)]"
logo_112,107,8,"[6, 17, 20, 11, 13, 16, 19, 5]",20,"[P(7.152237415313721, 9.72591781616211), P(5.767519950866699, 10.372099876403809), P(18.678367614746094, 10.74925708770752), P(5.641513824462891, 10.84268569946289), P(10.458406448364258, 10.880987167358398), P(13.085819244384766, 11.46860122680664), P(15.081722259521484, 11.468655586242676), P(4.844356060028076, 13.6954984664917)]"
logo_114,246,8,"[40, 36, 23, 24, 21, 59, 22, 21]",59,"[P(13.839512825012207, 4.361567497253418), P(11.9031982421875, 7.489614486694336), P(9.385558128356934, 8.715347290039062), P(15.941640853881836, 8.781763076782227), P(9.937478065490723, 10.028192520141602), P(11.356976509094238, 11.6899995803833), P(8.055726051330566, 14.971790313720703), P(16.866710662841797, 14.971790313720703)]"
