,file,class_,fill,stroke,stroke_width,opacity,stroke_opacity
0,A&O Hotels and Hostels.svg,st0,#234691,#000000,0,1.0,1.0
1,A&O Hotels and Hostels.svg,st1,#283B87,#000000,0,1.0,1.0
2,Ableton.svg,,#000000,#000000,0,1.0,1.0
3,Ableton.svg,,#000000,#000000,0,1.0,1.0
4,Ableton.svg,,#000000,#000000,0,1.0,1.0
5,Ableton.svg,,#000000,#000000,0,1.0,1.0
6,Ableton.svg,,#000000,#000000,0,1.0,1.0
7,Ableton.svg,,#000000,#000000,0,1.0,1.0
8,Ableton.svg,,#000000,#000000,0,1.0,1.0
9,Ableton.svg,,#000000,#000000,0,1.0,1.0
10,Ackermann-Fahrzeugbau.svg,,#000000,#000000,0,1.0,1.0
11,Ackermann-Fahrzeugbau.svg,,#b1b3b4,none,0,1,1.0
12,Ackermann-Fahrzeugbau.svg,,#e20015,none,0,1,1.0
13,Ackermann-Fahrzeugbau.svg,,#e20015,none,0,1,1.0
14,Ackermann-Fahrzeugbau.svg,,#b1b3b4,none,0,1,1.0
15,Ackermann-Fahrzeugbau.svg,,#e20015,none,0,1,1.0
16,Ackermann-Fahrzeugbau.svg,,#e20015,none,0,1,1.0
17,Actris.svg,,#000000,#000000,0,1.0,1.0
18,Actris.svg,,#000000,#000000,0,1.0,1.0
19,Actris.svg,,#000000,#000000,0,1.0,1.0
20,Actris.svg,,#000000,#000000,0,1.0,1.0
21,Actris.svg,,#244aa5,none,0,1,1.0
22,Actris.svg,,#244aa5,none,0,1,1.0
23,Actris.svg,,#ffffff,none,0,1,1.0
24,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
25,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
26,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
27,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
28,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
29,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
30,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
31,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
32,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
33,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
34,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
35,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
36,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
37,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
38,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
39,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
40,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
41,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
42,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
43,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
44,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
45,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
46,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
47,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
48,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
49,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
50,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
51,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
52,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
53,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
54,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
55,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
56,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
57,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
58,Adam Hall Group.svg,fil0,#000000,#000000,0,1.0,1.0
59,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
60,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
61,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
62,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
63,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
64,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
65,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
66,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
67,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
68,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
69,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
70,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
71,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
72,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
73,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
74,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
75,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
76,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
77,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
78,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
79,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
80,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
81,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
82,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
83,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
84,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
85,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
86,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
87,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
88,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
89,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
90,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
91,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
92,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
93,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
94,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
95,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
96,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
97,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
98,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
99,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
100,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
101,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
102,Adelholzener Alpenquellen.svg,st2,#FFFFFF,#000000,0,1.0,1.0
