id,total_len,nb_groups,len_groups,max_len_group
Actris,112,16,"[3, 3, 3, 2, 8, 8, 5, 10, 12, 9, 11, 14, 9, 4, 6, 5]",14
Ableton,198,19,"[12, 10, 10, 10, 10, 10, 10, 11, 27, 10, 4, 13, 21, 6, 10, 4, 4, 6, 10]",27
Airbus,72,8,"[10, 11, 4, 4, 16, 11, 10, 6]",16
AL-KO Kober SE,48,5,"[18, 14, 7, 4, 5]",18
A&O Hotels and Hostels,211,25,"[17, 7, 7, 16, 5, 7, 8, 5, 11, 9, 6, 6, 12, 8, 12, 6, 19, 6, 8, 14, 4, 4, 4, 6, 4]",19
Alfi,96,7,"[11, 60, 4, 4, 7, 4, 6]",60
Agravis Raiffeisen,196,27,"[10, 17, 17, 9, 9, 7, 5, 11, 5, 4, 4, 8, 8, 8, 9, 4, 3, 6, 6, 8, 3, 8, 7, 4, 6, 6, 4]",17
Alfatraining Bildungszentrum,245,18,"[11, 26, 10, 20, 14, 14, 16, 16, 18, 18, 18, 10, 10, 8, 8, 8, 8, 12]",26
Ameos Klinikum Halberstadt,79,9,"[5, 9, 8, 9, 14, 13, 4, 7, 10]",14
Arla Hansa Milch,203,24,"[7, 12, 5, 13, 11, 11, 7, 7, 5, 5, 4, 4, 4, 4, 9, 7, 5, 12, 11, 11, 13, 7, 7, 22]",22
Arte Deutschland TV,75,5,"[6, 12, 22, 16, 19]",22
ARS Altmann,223,21,"[13, 15, 7, 10, 10, 18, 5, 7, 5, 6, 12, 10, 16, 14, 14, 14, 17, 10, 12, 4, 4]",18
Berlitz Corporation,116,16,"[18, 7, 4, 4, 5, 5, 4, 8, 13, 4, 10, 10, 5, 9, 6, 4]",18
Billiger.de,153,21,"[6, 7, 9, 12, 5, 5, 12, 5, 6, 5, 6, 6, 8, 6, 8, 12, 9, 5, 5, 11, 5]",12
Altraverse,287,16,"[9, 19, 14, 21, 19, 19, 8, 8, 12, 21, 21, 12, 12, 13, 13, 66]",66
Bayer,172,19,"[7, 5, 5, 9, 4, 7, 9, 10, 13, 11, 5, 5, 4, 22, 5, 22, 13, 11, 5]",22
Bundesdruckerei,228,25,"[24, 26, 14, 10, 6, 6, 9, 10, 10, 10, 7, 10, 8, 10, 8, 4, 9, 5, 5, 5, 5, 5, 5, 9, 8]",26
Campus,57,6,"[6, 10, 8, 8, 11, 14]",14
DBK David + Baader,64,8,"[6, 4, 18, 11, 5, 11, 4, 5]",18
CHG-Meridian,58,4,"[19, 15, 6, 18]",19
Daimler AG,172,10,"[12, 24, 21, 32, 18, 20, 31, 5, 3, 6]",32
Credit Europe Bank,242,29,"[8, 6, 6, 10, 5, 14, 10, 10, 8, 6, 12, 12, 8, 8, 8, 5, 5, 11, 11, 5, 5, 4, 10, 5, 4, 8, 12, 16, 10]",16
Deutsche Glasfaser,221,26,"[5, 12, 12, 6, 6, 8, 11, 8, 8, 11, 6, 6, 10, 5, 11, 7, 8, 14, 11, 14, 11, 8, 9, 6, 4, 4]",14
Deutsche Wohnen SE,193,18,"[24, 11, 8, 6, 13, 9, 13, 13, 10, 5, 7, 6, 13, 14, 13, 11, 11, 6]",24
DKV,81,9,"[11, 5, 5, 5, 10, 10, 13, 16, 6]",16
DOMO Chemicals,55,7,"[7, 6, 14, 8, 6, 6, 8]",14
Douglas Holding,94,8,"[14, 16, 14, 9, 7, 9, 17, 8]",17
E.ON SE,75,11,"[11, 7, 12, 7, 5, 5, 8, 6, 4, 6, 4]",12
Dr. August Oetker Nahrungsmittel KG,173,18,"[14, 12, 12, 13, 15, 8, 8, 11, 11, 6, 6, 6, 6, 6, 5, 7, 11, 16]",16
ElitePartner,177,21,"[13, 5, 5, 7, 5, 5, 13, 9, 12, 12, 7, 13, 9, 9, 5, 14, 5, 5, 9, 9, 6]",14
Dr. Oetker,173,18,"[14, 12, 12, 13, 15, 8, 8, 11, 11, 6, 6, 6, 6, 6, 5, 7, 11, 16]",16
EMT Penzberg,44,2,"[10, 34]",34
Deutsche Verrechnungsstelle,314,45,"[4, 13, 15, 6, 7, 8, 4, 3, 11, 5, 8, 5, 8, 3, 3, 5, 6, 6, 4, 3, 8, 10, 8, 8, 8, 6, 6, 8, 8, 9, 9, 10, 10, 10, 8, 8, 6, 6, 6, 6, 6, 6, 5, 6, 6]",15
Enertrag,145,21,"[5, 5, 5, 5, 5, 5, 5, 14, 14, 4, 6, 6, 5, 9, 5, 7, 10, 9, 10, 6, 5]",14
EuroJet Turbo GmbH,96,9,"[7, 12, 9, 11, 14, 13, 13, 9, 8]",14
enercity AG,253,35,"[5, 19, 6, 6, 6, 11, 10, 12, 10, 10, 3, 3, 3, 7, 3, 3, 5, 3, 6, 6, 6, 6, 14, 8, 7, 10, 4, 8, 8, 8, 8, 8, 6, 6, 9]",19
Evonik Industries,256,26,"[21, 20, 15, 10, 20, 8, 16, 6, 3, 3, 12, 7, 11, 11, 11, 8, 8, 7, 16, 8, 7, 8, 5, 4, 4, 7]",21
Experian,198,20,"[10, 4, 10, 11, 11, 12, 14, 10, 13, 8, 15, 6, 6, 6, 6, 10, 8, 18, 10, 10]",18
Festo,116,6,"[22, 26, 30, 18, 10, 10]",30
Faurecia,242,39,"[3, 3, 3, 3, 3, 10, 4, 4, 9, 11, 4, 8, 4, 9, 10, 14, 4, 6, 4, 4, 4, 7, 4, 4, 4, 4, 9, 9, 4, 4, 6, 8, 9, 8, 7, 7, 12, 8, 4]",14
